gene	bias1	bias2	mean	SD
Sm_t00000777-RA	55.96	45.65	50.805	7.29027091403331
Sm_t00000778-RA	15.85	18.87	17.36	2.13546247918337
Sm_t00000779-RA	12.67	12.07	12.37	0.424264068711928
Sm_t00000780-RA	14.79	12.07	13.43	1.92333044482741
Sm_t00000781-RA	21.91	26.59	24.25	3.30925973595304
Sm_t00000782-RA	13.06	8.75	10.905	3.04763022691402
Sm_t00000784-RA	27.66	24.39	26.025	2.31223917448001
Sm_t00000786-RA	30.49	19.74	25.115	7.60139789775539
Sm_t00000787-RA	56.78	53.71	55.245	2.1708178182427
Sm_t00000788-RA	2.42	6.35	4.385	2.77892965006313
Sm_t00000789-RA	18.53	25.9	22.215	5.21137697734485
Sm_t00000790-RA	14.79	15.75	15.27	0.678822509939086
Sm_t00000792-RA	30.73	29.03	29.88	1.20208152801713
Sm_t00000793-RA	30	11.74	20.87	12.9117698244664
Sm_t00000794-RA	18.18	15.78	16.98	1.69705627484771
Sm_t00000796-RA	48.21	64.37	56.29	11.4268455839746
Sm_t00000797-RA	31.78	8.09	19.935	16.7513596463093
Sm_t00000798-RA	14.41	15.72	15.065	0.926309883354378
Sm_t00000799-RA	19.12	19.36	19.24	0.16970562748477
Sm_t00000800-RA	18.57	25.6	22.085	4.97096067174143
Sm_t00000801-RA	26.53	18.1	22.315	5.9609101654026
Sm_t00000802-RA	16.5	27.72	22.11	7.93373808491306
Sm_t00000804-RA	3.88	12.51	8.195	6.1023315216399
Sm_t00000805-RA	21.25	31.34	26.295	7.13470742217226
Sm_t00000806-RA	14.73	9.46	12.095	3.72645273685311
Sm_t00000807-RA	19.17	15.35	17.26	2.70114790413261
Sm_t00000811-RA	11.82	8.61	10.215	2.26981276760882
Sm_t00000812-RA	23.35	29.64	26.495	4.44770165366338
Sm_t00000814-RA	26.91	22.74	24.825	2.9486352775479
Sm_t00000815-RA	17.38	21.86	19.62	3.16783837971573
Sm_t00000817-RA	25.1	19.35	22.225	4.06586399182265
Sm_t00000823-RA	36.55	31.79	34.17	3.36582827844796
Sm_t00000825-RA	19.88	15.18	17.53	3.32340187157677
Sm_t00000826-RA	0.78	30.38	15.58	20.9303607231218
Sm_t00000827-RA	22.26	17.19	19.725	3.5850313806158
Sm_t00000828-RA	34.53	24.89	29.71	6.81650937063832
Sm_t00000829-RA	22.56	31.98	27.27	6.66094587877728
Sm_t00000830-RA	16.44	10.51	13.475	4.19314321243623
Sm_t00000831-RA	29.54	13.4	21.47	11.4127034483509
Sm_t00000832-RA	65.22	56.25	60.735	6.34274782724333
Sm_t00000837-RA	30.14	16.38	23.26	9.72978930912689
Sm_t00000838-RA	13.44	18.12	15.78	3.30925973595304
Sm_t00000839-RA	26.03	29.72	27.875	2.60922402257836
Sm_t00000840-RA	25.27	26.43	25.85	0.820243866176395
Sm_t00000841-RA	61.32	45.95	53.635	10.8682312268372
Sm_t00000842-RA	30.24	38.17	34.205	5.60735677480932
Sm_t00000845-RA	16.38	16.38	16.38	0
Sm_t00000847-RA	28.75	14.41	21.58	10.1399112422151
Sm_t00000849-RA	17.39	17.07	17.23	0.226274169979695
Sm_t00000852-RA	17.02	8.06	12.54	6.33567675943147
Sm_t00000853-RA	35.9	26.87	31.385	6.38517423411452
Sm_t00000854-RA	32.74	53.14	42.94	14.4249783362056
Sm_t00000861-RA	29.14	33.54	31.34	3.11126983722081
Sm_t00000864-RA	25.36	17.69	21.525	5.42350901170082
Sm_t00000865-RA	37.27	39.93	38.6	1.88090403795621
Sm_t00000866-RA	46.68	58.62	52.65	8.44285496736738
Sm_t00000867-RA	26.54	19.44	22.99	5.02045814642449
Sm_t00000868-RA	27.87	32.71	30.29	3.42239682094289
